JRV,ORIGEN,CANDIDATO_RUBRO,VOTOS
3459,TREP,VOTOS NULOS,5
3459,TREP,GRAN TOTAL,205
3736,ESCRUTINIO,DC,0
3736,ESCRUTINIO,PINU,5
3736,ESCRUTINIO,P. LIBERAL,142
3736,ESCRUTINIO,LIBRE,22
3736,ESCRUTINIO,P. NACIONAL,58
3736,ESCRUTINIO,VOTOS BLANCOS,0
3736,ESCRUTINIO,VOTOS NULOS,2
3736,ESCRUTINIO,GRAN TOTAL,229
3736,TREP,DC,0
3736,TREP,PINU,5
3736,TREP,P. LIBERAL,142
3736,TREP,LIBRE,22
3736,TREP,P. NACIONAL,58
3736,TREP,VOTOS BLANCOS,0
3736,TREP,VOTOS NULOS,2
3736,TREP,GRAN TOTAL,229
3747,ESCRUTINIO,DC,0
3747,ESCRUTINIO,PINU,4
3747,ESCRUTINIO,P. LIBERAL,142
3747,ESCRUTINIO,LIBRE,19
3747,ESCRUTINIO,P. NACIONAL,39
3747,ESCRUTINIO,VOTOS BLANCOS,0
3747,ESCRUTINIO,VOTOS NULOS,3
3747,ESCRUTINIO,GRAN TOTAL,207
3747,TREP,DC,0
3747,TREP,PINU,4
3747,TREP,P. LIBERAL,142
3747,TREP,LIBRE,19
3747,TREP,P. NACIONAL,39
3747,TREP,VOTOS BLANCOS,0
3747,TREP,VOTOS NULOS,3
3747,TREP,GRAN TOTAL,207
3752,ESCRUTINIO,DC,0
3752,ESCRUTINIO,PINU,6
3752,ESCRUTINIO,P. LIBERAL,131
3752,ESCRUTINIO,LIBRE,13
3752,ESCRUTINIO,P. NACIONAL,58
3752,ESCRUTINIO,VOTOS BLANCOS,0
3752,ESCRUTINIO,VOTOS NULOS,3
3752,ESCRUTINIO,GRAN TOTAL,211
3752,TREP,DC,0
3752,TREP,PINU,6
3752,TREP,P. LIBERAL,131
3752,TREP,LIBRE,13
3752,TREP,P. NACIONAL,58
3752,TREP,VOTOS BLANCOS,0
3752,TREP,VOTOS NULOS,3
3752,TREP,GRAN TOTAL,211
3753,ESCRUTINIO,DC,0
3753,ESCRUTINIO,PINU,1
3753,ESCRUTINIO,P. LIBERAL,115
3753,ESCRUTINIO,LIBRE,14
3753,ESCRUTINIO,P. NACIONAL,49
3753,ESCRUTINIO,VOTOS BLANCOS,0
3753,ESCRUTINIO,VOTOS NULOS,5
3753,ESCRUTINIO,GRAN TOTAL,184
3753,TREP,DC,0
3753,TREP,PINU,1
3753,TREP,P. LIBERAL,115
3753,TREP,LIBRE,14
3753,TREP,P. NACIONAL,49
3753,TREP,VOTOS BLANCOS,0
3753,TREP,VOTOS NULOS,5
3753,TREP,GRAN TOTAL,184
3764,ESCRUTINIO,DC,0
3764,ESCRUTINIO,PINU,2
3764,ESCRUTINIO,P. LIBERAL,133
3764,ESCRUTINIO,LIBRE,16
3764,ESCRUTINIO,P. NACIONAL,65
3764,ESCRUTINIO,VOTOS BLANCOS,0
3764,ESCRUTINIO,VOTOS NULOS,3
3764,ESCRUTINIO,GRAN TOTAL,219
3764,TREP,DC,0
3764,TREP,PINU,2
3764,TREP,P. LIBERAL,133
3764,TREP,LIBRE,16
3764,TREP,P. NACIONAL,65
3764,TREP,VOTOS BLANCOS,0
3764,TREP,VOTOS NULOS,0
3764,TREP,GRAN TOTAL,216
3914,ESCRUTINIO,DC,2
3914,ESCRUTINIO,PINU,6
