JRV,ORIGEN,CANDIDATO_RUBRO,VOTOS
12533,TREP,VOTOS BLANCOS,5
12533,TREP,VOTOS NULOS,6
12533,TREP,GRAN TOTAL,235
13324,ESCRUTINIO,DC,0
13324,ESCRUTINIO,PINU,2
13324,ESCRUTINIO,P. LIBERAL,97
13324,ESCRUTINIO,LIBRE,17
13324,ESCRUTINIO,P. NACIONAL,55
13324,ESCRUTINIO,VOTOS BLANCOS,0
13324,ESCRUTINIO,VOTOS NULOS,2
13324,ESCRUTINIO,GRAN TOTAL,173
13324,TREP,DC,0
13324,TREP,PINU,2
13324,TREP,P. LIBERAL,97
13324,TREP,LIBRE,17
13324,TREP,P. NACIONAL,55
13324,TREP,VOTOS BLANCOS,0
13324,TREP,VOTOS NULOS,2
13324,TREP,GRAN TOTAL,173
13393,ESCRUTINIO,DC,0
13393,ESCRUTINIO,PINU,1
13393,ESCRUTINIO,P. LIBERAL,90
13393,ESCRUTINIO,LIBRE,14
13393,ESCRUTINIO,P. NACIONAL,38
13393,ESCRUTINIO,VOTOS BLANCOS,1
13393,ESCRUTINIO,VOTOS NULOS,0
13393,ESCRUTINIO,GRAN TOTAL,144
13393,TREP,DC,0
13393,TREP,PINU,1
13393,TREP,P. LIBERAL,90
13393,TREP,LIBRE,14
13393,TREP,P. NACIONAL,38
13393,TREP,VOTOS BLANCOS,1
13393,TREP,VOTOS NULOS,0
13393,TREP,GRAN TOTAL,144
13395,ESCRUTINIO,DC,0
13395,ESCRUTINIO,PINU,2
13395,ESCRUTINIO,P. LIBERAL,93
13395,ESCRUTINIO,LIBRE,19
13395,ESCRUTINIO,P. NACIONAL,40
13395,ESCRUTINIO,VOTOS BLANCOS,0
13395,ESCRUTINIO,VOTOS NULOS,1
13395,ESCRUTINIO,GRAN TOTAL,155
13395,TREP,DC,0
13395,TREP,PINU,2
13395,TREP,P. LIBERAL,93
13395,TREP,LIBRE,19
13395,TREP,P. NACIONAL,40
13395,TREP,VOTOS BLANCOS,0
13395,TREP,VOTOS NULOS,1
13395,TREP,GRAN TOTAL,155
13404,ESCRUTINIO,DC,0
13404,ESCRUTINIO,PINU,2
13404,ESCRUTINIO,P. LIBERAL,103
13404,ESCRUTINIO,LIBRE,9
13404,ESCRUTINIO,P. NACIONAL,38
13404,ESCRUTINIO,VOTOS BLANCOS,4
13404,ESCRUTINIO,VOTOS NULOS,0
13404,ESCRUTINIO,GRAN TOTAL,156
13404,TREP,DC,0
13404,TREP,PINU,2
13404,TREP,P. LIBERAL,103
13404,TREP,LIBRE,9
13404,TREP,P. NACIONAL,38
13404,TREP,VOTOS BLANCOS,4
13404,TREP,VOTOS NULOS,0
13404,TREP,GRAN TOTAL,156
13480,ESCRUTINIO,DC,1
13480,ESCRUTINIO,PINU,3
13480,ESCRUTINIO,P. LIBERAL,108
13480,ESCRUTINIO,LIBRE,67
13480,ESCRUTINIO,P. NACIONAL,52
13480,ESCRUTINIO,VOTOS BLANCOS,3
13480,ESCRUTINIO,VOTOS NULOS,3
13480,ESCRUTINIO,GRAN TOTAL,237
13480,TREP,DC,1
13480,TREP,PINU,3
13480,TREP,P. LIBERAL,108
13480,TREP,LIBRE,67
13480,TREP,P. NACIONAL,52
13480,TREP,VOTOS BLANCOS,3
13480,TREP,VOTOS NULOS,3
13480,TREP,GRAN TOTAL,237
15528,ESCRUTINIO,DC,1
15528,ESCRUTINIO,PINU,1
15528,ESCRUTINIO,P. LIBERAL,59
15528,ESCRUTINIO,LIBRE,48
15528,ESCRUTINIO,P. NACIONAL,66
15528,ESCRUTINIO,VOTOS BLANCOS,0
15528,ESCRUTINIO,VOTOS NULOS,1
15528,ESCRUTINIO,GRAN TOTAL,176
15528,TREP,DC,1
15528,TREP,PINU,1
15528,TREP,P. LIBERAL,59
15528,TREP,LIBRE,48
15528,TREP,P. NACIONAL,66
15528,TREP,VOTOS BLANCOS,0
15528,TREP,VOTOS NULOS,1
15528,TREP,GRAN TOTAL,176
16628,ESCRUTINIO,DC,0
16628,ESCRUTINIO,PINU,0
16628,ESCRUTINIO,P. LIBERAL,39
16628,ESCRUTINIO,LIBRE,104
16628,ESCRUTINIO,P. NACIONAL,82
16628,ESCRUTINIO,VOTOS BLANCOS,1
16628,ESCRUTINIO,VOTOS NULOS,2
16628,ESCRUTINIO,GRAN TOTAL,228
16628,TREP,DC,0
16628,TREP,PINU,0
16628,TREP,P. LIBERAL,39
16628,TREP,LIBRE,103
16628,TREP,P. NACIONAL,81
16628,TREP,VOTOS BLANCOS,2
16628,TREP,VOTOS NULOS,3
16628,TREP,GRAN TOTAL,228
16740,ESCRUTINIO,DC,0
16740,ESCRUTINIO,PINU,0
16740,ESCRUTINIO,P. LIBERAL,81
16740,ESCRUTINIO,LIBRE,64
16740,ESCRUTINIO,P. NACIONAL,69
16740,ESCRUTINIO,VOTOS BLANCOS,0
16740,ESCRUTINIO,VOTOS NULOS,5
16740,ESCRUTINIO,GRAN TOTAL,219
16740,TREP,DC,0
16740,TREP,PINU,0
16740,TREP,P. LIBERAL,81
16740,TREP,LIBRE,64
16740,TREP,P. NACIONAL,69
16740,TREP,VOTOS BLANCOS,0
16740,TREP,VOTOS NULOS,5
16740,TREP,GRAN TOTAL,219
16824,ESCRUTINIO,DC,0
16824,ESCRUTINIO,PINU,0
16824,ESCRUTINIO,P. LIBERAL,33
16824,ESCRUTINIO,LIBRE,87
16824,ESCRUTINIO,P. NACIONAL,100
16824,ESCRUTINIO,VOTOS BLANCOS,5
16824,ESCRUTINIO,VOTOS NULOS,2
16824,ESCRUTINIO,GRAN TOTAL,227
16824,TREP,DC,0
16824,TREP,PINU,0
16824,TREP,P. LIBERAL,33
16824,TREP,LIBRE,87
16824,TREP,P. NACIONAL,100
16824,TREP,VOTOS BLANCOS,5
16824,TREP,VOTOS NULOS,2
16824,TREP,GRAN TOTAL,227
16830,ESCRUTINIO,DC,0
16830,ESCRUTINIO,PINU,0
16830,ESCRUTINIO,P. LIBERAL,34
16830,ESCRUTINIO,LIBRE,116
16830,ESCRUTINIO,P. NACIONAL,97
16830,ESCRUTINIO,VOTOS BLANCOS,3
16830,ESCRUTINIO,VOTOS NULOS,3
16830,ESCRUTINIO,GRAN TOTAL,253
16830,TREP,DC,0
16830,TREP,PINU,0
16830,TREP,P. LIBERAL,34
16830,TREP,LIBRE,116
16830,TREP,P. NACIONAL,97
16830,TREP,VOTOS BLANCOS,3
16830,TREP,VOTOS NULOS,3
16830,TREP,GRAN TOTAL,253
17385,ESCRUTINIO,DC,2
17385,ESCRUTINIO,PINU,0
17385,ESCRUTINIO,P. LIBERAL,48
17385,ESCRUTINIO,LIBRE,25
17385,ESCRUTINIO,P. NACIONAL,64
17385,ESCRUTINIO,VOTOS BLANCOS,1
17385,ESCRUTINIO,VOTOS NULOS,5
17385,ESCRUTINIO,GRAN TOTAL,145
17385,TREP,DC,2
17385,TREP,PINU,0
17385,TREP,P. LIBERAL,48
17385,TREP,LIBRE,25
17385,TREP,P. NACIONAL,64
17385,TREP,VOTOS BLANCOS,1
17385,TREP,VOTOS NULOS,5
17385,TREP,GRAN TOTAL,145
18192,ESCRUTINIO,DC,0
18192,ESCRUTINIO,PINU,4
18192,ESCRUTINIO,P. LIBERAL,131
18192,ESCRUTINIO,LIBRE,26
18192,ESCRUTINIO,P. NACIONAL,37
18192,ESCRUTINIO,VOTOS BLANCOS,0
18192,ESCRUTINIO,VOTOS NULOS,0
18192,ESCRUTINIO,GRAN TOTAL,198
18192,TREP,DC,0
18192,TREP,PINU,4
18192,TREP,P. LIBERAL,131
18192,TREP,LIBRE,26
18192,TREP,P. NACIONAL,37
18192,TREP,VOTOS BLANCOS,0
18192,TREP,VOTOS NULOS,0
18192,TREP,GRAN TOTAL,198
18268,ESCRUTINIO,DC,0
18268,ESCRUTINIO,PINU,4
18268,ESCRUTINIO,P. LIBERAL,131
18268,ESCRUTINIO,LIBRE,39
18268,ESCRUTINIO,P. NACIONAL,41
18268,ESCRUTINIO,VOTOS BLANCOS,0
18268,ESCRUTINIO,VOTOS NULOS,0
18268,ESCRUTINIO,GRAN TOTAL,215
18268,TREP,DC,0
18268,TREP,PINU,4
18268,TREP,P. LIBERAL,131
18268,TREP,LIBRE,39
18268,TREP,P. NACIONAL,41
18268,TREP,VOTOS BLANCOS,0
18268,TREP,VOTOS NULOS,0
18268,TREP,GRAN TOTAL,215
18543,ESCRUTINIO,DC,2
18543,ESCRUTINIO,PINU,2
18543,ESCRUTINIO,P. LIBERAL,123
18543,ESCRUTINIO,LIBRE,44
18543,ESCRUTINIO,P. NACIONAL,32
18543,ESCRUTINIO,VOTOS BLANCOS,1
18543,ESCRUTINIO,VOTOS NULOS,2
18543,ESCRUTINIO,GRAN TOTAL,206
18543,TREP,DC,2
18543,TREP,PINU,2
18543,TREP,P. LIBERAL,123
18543,TREP,LIBRE,44
18543,TREP,P. NACIONAL,32
18543,TREP,VOTOS BLANCOS,2
18543,TREP,VOTOS NULOS,1
18543,TREP,GRAN TOTAL,206
