Fecha_Hora,Departamento,JRV,Nivel,Estado,Detalle
2026-02-07 08:56:44,CORTES,5450,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:56:48,CORTES,5450,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:56:52,CORTES,5451,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:57:01,CORTES,5451,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:57:06,CORTES,5451,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:57:10,CORTES,5452,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:57:20,CORTES,5452,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:57:24,CORTES,5452,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:57:28,CORTES,5453,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:57:38,CORTES,5453,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:57:42,CORTES,5453,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:57:46,CORTES,5454,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:57:56,CORTES,5454,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:58:00,CORTES,5454,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:58:04,CORTES,5455,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:58:14,CORTES,5455,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:58:18,CORTES,5455,ALCALDE,EXITO,Guardado en no_computadas
2026-02-07 08:58:22,CORTES,5456,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:58:32,CORTES,5456,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:58:36,CORTES,5456,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:58:40,CORTES,5457,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:58:50,CORTES,5457,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:58:54,CORTES,5457,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:58:58,CORTES,5542,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:59:09,CORTES,5542,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:59:13,CORTES,5542,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:59:17,CORTES,5605,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:59:26,CORTES,5605,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:59:31,CORTES,5605,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:59:35,CORTES,5783,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:59:44,CORTES,5783,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:59:48,CORTES,5783,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:59:52,CORTES,5785,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:00:02,CORTES,5785,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:00:06,CORTES,5785,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:00:10,CORTES,5928,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:00:19,CORTES,5928,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:00:24,CORTES,5928,ALCALDE,EXITO,Guardado en no_computadas
2026-02-07 09:00:28,CORTES,6309,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:00:38,CORTES,6309,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:00:43,CORTES,6309,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:00:47,CORTES,6433,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:00:55,CORTES,6433,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:01:00,CORTES,6433,ALCALDE,EXITO,Guardado en pdf
2026-02-07 09:01:04,CHOLUTECA,7012,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:01:10,CHOLUTECA,7012,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 09:01:14,CHOLUTECA,7012,ALCALDE,EXITO,Guardado en pdf
